year,state,athlete,article_count,sport,rank
2025,Nevada,"Wilson, A'ja",2,Basketball,1
2025,New Jersey,"Murphy, Philip D",2,Track & Field,1
2025,New York,"Trump, Donald J",5,Baseball,1
2025,North Carolina,"Rozier, Terry",3,Basketball,1
2025,Ohio,"Burrow, Joe",2,Football,1
2025,Ohio,"Clase, Emmanuel",2,Baseball,1
2025,Ohio,"Trump, Donald J",2,Football,1
2025,Oklahoma,"Caruso, Alex",2,Basketball,1
2025,Oklahoma,"Gilgeous-Alexander, Shai",2,Basketball,1
2025,Oklahoma,"James, LeBron",2,Basketball,1
2025,Oklahoma,"Johnson, LeShon",2,Football,1
2025,Oregon,"Rozier, Terry",2,Basketball,1
2025,Pennsylvania,"Barkley, Saquon",2,Football,1
2025,Pennsylvania,"Hurts, Jalen",2,Football,1
2025,Pennsylvania,"Lamar, Kendrick",2,Football,1
2025,Pennsylvania,"Swift, Taylor",2,Football,1
2025,Texas,"Jones, Jerry",3,Football,1
2026,California,"Liu, Alysa",2,Other,1
2026,District of Columbia,"Trump, Donald J",2,Golf,1
2026,Florida,"Trump, Donald J",2,Golf,1
2026,Illinois,"Jordan, Michael",2,Basketball,1
2026,Illinois,"Pippen, Scottie",2,Basketball,1
2026,Massachusetts,"Darnold, Sam",2,Football,1
2026,Massachusetts,"Russini, Dianna",2,Football,1
2026,Massachusetts,"Vrabel, Mike",2,Football,1
2026,New Jersey,"Sherrill, Mikie",2,Soccer,1
2026,New York,"Mamdani, Zohran",3,Soccer,1
2026,Pennsylvania,"Frazier, Joe",2,Boxing/MMA,1
2026,Pennsylvania,"Schomberg, A Thomas",2,Boxing/MMA,1
2026,Washington,"Darnold, Sam",2,Football,1
